,False  False,  False  True,  False  M,  True  False,  True  True,  True  M,  M  False,  M  True,  M  M,,
False  False,[False  False],[False  True],[False  'M'],[True  False],[True  True],[True  'M'],['M'  False],['M'  True],['M'  'M'],
False  True,[False  True],[False  True],[False  True],[False  True],[False  True],[False  True],[False  True],[False  True],[False  True],
False  M,[False  'M'],[False  True],[False  'M'],['M'  'M'],['M'  True],['M'  'M'],['M'  'M'],['M'  True],['M'  'M'],
True  False,[True  False],[True  False],[True  False],[True  False],[True  False],[True  False],[True  False],[True  False],[True  False],
True  True,[True  True],[True  False],[True  'M'],[False  True],[False  False],[False  'M'],['M'  True],['M'  False],['M'  'M'],
True  M,[True  'M'],[True  False],[True  'M'],['M'  'M'],['M'  False],['M'  'M'],['M'  'M'],['M'  False],['M'  'M'],
M  False,['M'  False],['M'  'M'],['M'  'M'],[True  False],[True  'M'],[True  'M'],['M'  False],['M'  'M'],['M'  'M'],
M  True,['M'  True],['M'  'M'],['M'  'M'],[False  True],[False  'M'],[False  'M'],['M'  True],['M'  'M'],['M'  'M'],
M  M,['M'  'M'],['M'  'M'],['M'  'M'],['M'  'M'],['M'  'M'],['M'  'M'],['M'  'M'],['M'  'M'],['M'  'M'],
